pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021    BLADE: Un outil d’aide à la décision automatique pour guider le choix de technologie Blockchain     Revue ouverte d’ingénierie des systèmes d’information 2 (1) N Six, N Herbaut, C Salinesi    roisi  https://hal.archives-ouvertes.fr/hal-03116196/document
2020    A blockchain-based pattern for confidential and pseudo-anonymous contract enforcement   2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)   Nicolas Six, Claudia Negri Ribalta, Nicolas Herbaut, Camille Salinesi   truscom20   https://arxiv.org/pdf/2101.08997
2020    Which Blockchain to choose? A decision support tool to guide the choice of a Blockchain technology  INFORSID, pp.135-150.   N Six, N Herbaut, C Salinesi    inforsid2020    https://arxiv.org/pdf/2004.06080
2019    A blockchain-based network slice broker for 5G services IEEE Networking Letters 1 (3), 99-102   B Nour, A Ksentini, N Herbaut, PA Frangoudis, H Moungla netletter2019   https://ieeexplore.ieee.org/abstract/document/8707070
